Size,Microseconds,,
500,106,88,84
600,134,108,106
700,151,124,121
800,174,141,137
900,194,159,150
1000,233,193,190
1100,274,223,224
1200,308,250,251
1300,330,272,281
1400,352,288,286
1500,378,309,544
1600,633,340,334
1700,502,360,347
1800,451,374,363
1900,497,412,398
2000,822,471,474
2100,640,520,531
2200,912,609,549
2300,699,588,598
2400,731,583,782
2500,753,602,609
2600,828,682,673
2700,871,693,697
2800,885,733,784
2900,948,763,741
3000,944,773,761
3100,976,749,733
3200,938,764,759
3300,966,787,737
3400,936,764,750
3500,964,785,771
3600,989,809,755
3700,964,788,771
3800,989,809,790
3900,1032,843,827
4000,1092,883,896
4100,1130,927,963
4200,1193,956,970
4300,1175,971,992
4400,1206,958,966
4500,1203,929,961
4600,1172,939,963
4700,1178,934,954
4800,1199,954,984
4900,1217,968,994
5000,1238,987,1016
5100,1344,977,1003
5200,1278,995,1020
5300,1274,1050,1076
5400,1347,1038,1054
5500,1324,1087,1099
5600,1378,1166,1122
5700,1404,1130,1151
5800,1426,1134,1148
5900,1461,1155,1190
6000,1468,1191,1188
6100,1494,1199,1205
6200,1515,1213,1225
6300,1539,1237,1240
6400,1570,1255,1260
6500,1582,1293,1276
6600,1629,1292,1292
6700,1634,1313,1325
6800,1653,1332,1328
6900,1672,1365,1414
7000,1697,1367,1384
7100,1722,1388,1378
7200,1812,1500,1480
7300,1795,1425,1416
7400,1784,1469,1438
7500,1814,1464,1611
7600,1902,1442,1616
7700,1888,1619,1547
7800,2080,1670,1526
7900,2162,1650,1770
8000,2050,1771,1727
8100,2228,1686,1971
8200,2344,1977,1865
8300,2376,1922,1932
8400,2474,1778,2039
8500,2276,1910,1877
8600,2476,1808,2024
8700,2416,1957,2880
8800,2859,2101,2128
8900,2601,2125,2125
9000,2607,2098,2352
9100,2589,2015,2434
9200,2791,2403,2112
9300,2648,2067,2103
9400,2768,2030,2111
9500,2569,2053,2157
9600,2603,2149,2132
9700,2543,2228,2168
9800,2644,2247,2257
9900,2983,2426,2440
10000,2784,2076,2201
