Size,Microseconds,,
500,682,509,467
600,641,561,576
700,741,657,679
800,841,724,663
900,827,734,743
1000,904,813,840
1100,1012,905,829
1200,956,881,880
1300,1038,948,951
1400,1125,927,923
1500,1090,979,995
1600,1141,951,986
1700,1143,1022,1048
1800,1255,1094,1034
1900,1185,1074,1099
2000,1251,1066,1084
2100,1250,1124,1148
2200,1317,1155,1146
2300,1305,1166,1208
2400,1349,1167,1203
2500,1352,1194,1230
2600,1381,1273,1275
2700,1420,1259,1284
2800,1463,1301,1298
2900,1453,1300,1346
3000,1503,1319,1342
3100,1584,1347,1389
3200,1564,1429,1439
3300,1653,1457,1484
3400,1682,1487,1549
3500,1796,1628,1755
3600,1917,1840,1666
3700,1882,1660,1707
3800,1932,1723,1787
3900,1995,1755,1809
4000,2026,1792,1866
4100,2079,1834,1916
4200,2138,1893,1951
4300,2231,1950,2006
4400,2255,2014,2049
4500,2302,2072,2111
4600,2372,2074,2159
4700,2436,2144,2207
4800,2477,2178,2192
4900,2495,2117,2187
5000,2534,2328,2294
5100,2563,2474,2444
5200,2815,2404,2532
5300,2806,2318,2606
5400,2873,2397,2606
5500,2877,2491,2733
5600,2988,2563,2700
5700,2993,2659,2650
5800,3060,2745,2768
5900,3022,2781,2873
6000,3058,2794,2907
6100,3344,2790,2911
6200,3269,2905,2904
6300,3356,2798,2902
6400,3316,2837,2981
6500,3375,2905,3114
6600,3430,2991,3105
6700,3478,3066,3174
6800,3491,3098,3193
6900,3559,3133,3227
7000,3631,3169,3283
7100,3660,3226,3349
7200,3737,3318,3369
7300,3791,3296,3630
7400,3899,3377,3544
7500,4031,3539,3612
7600,4081,3658,3798
7700,4139,3651,3729
7800,4145,3718,3758
7900,4189,3657,3878
8000,4197,3843,3806
8100,4253,3810,3876
8200,4501,3793,3755
8300,4343,3668,3995
8400,4289,3841,3957
8500,4453,3880,4024
8600,4466,3976,4061
8700,4539,3969,4098
8800,4583,4019,4137
8900,4629,4063,4263
9000,4688,4201,4457
9100,4823,4268,4471
9200,4993,4220,4453
9300,4946,4341,4601
9400,5077,4483,4513
9500,5062,4522,4734
9600,5115,4672,4732
9700,5248,4679,4682
9800,5065,4525,4669
9900,5220,4599,4712
10000,5267,4587,4786
